Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Throwaway,P Shriwi,Anonymous,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,256,Field,0.261,0.349,Endzone B,0.362,0.413,yds,66.4,3.4,66.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,260,Endzone B,0.038,0.436,Field,0.833,0.781,yds,23.2,18.4,-14.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,264,Field,0.833,0.781,Field,0.747,0.529,yds,15.1,13.5,-6.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,268,Field,0.747,0.529,Field,0.734,0.300,yds,12.2,12.2,-1.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,272,Field,0.734,0.300,Field,0.542,0.157,yds,17.2,7.6,-15.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,276,Field,0.542,0.157,Field,0.517,0.330,yds,9.4,9.2,-2.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,280,Field,0.517,0.330,Field,0.554,0.177,yds,8.7,8.1,3.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,OpponentCatch,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,284,Field,0.554,0.177,Field,0.417,0.174,yds,11.0,0.2,-11.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Defense,Goal,,,Anonymous,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,288,Field,0.417,0.174,Endzone A,0.559,0.451,yds,44.7,14.8,-42.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,OpponentPull,Anonymous,Anonymous,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,326,Endzone A,0.721,0.444,Endzone B,0.403,0.169,yds,94.8,14.7,-93.7,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,B Ever,A Drews,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,335,Endzone B,0.424,0.173,Field,0.975,0.385,yds,15.4,11.3,10.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,A Drews,B Ever,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,339,Field,0.975,0.385,Field,0.990,0.212,yds,9.3,9.2,-1.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,B Ever,J Froude,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,343,Field,0.990,0.212,Field,0.751,0.238,yds,19.1,1.4,19.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,Anonymous,C Camp,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,369,Field,0.751,0.238,Field,0.763,0.221,yds,1.3,0.9,-0.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,C Camp,A Drews,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,376,Field,0.763,0.221,Field,0.836,0.502,yds,16.1,15.0,-5.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,A Drews,K Brown,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,380,Field,0.836,0.502,Field,0.608,0.312,yds,20.9,10.2,18.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Catch,K Brown,C Camp,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,403,Field,0.608,0.312,Field,0.062,0.170,yds,44.4,7.6,43.7,
2015-06-06 19:01,,Pittsburgh Thunderbirds,83,O,2,2,Offense,Goal,C Camp,A Mesh,,,J Froude,A Drews,K Brown,C Camp,S Meyer,B Hart,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,407,Field,0.062,0.170,Endzone A,0.897,0.450,yds,16.5,14.9,7.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,10,D,2,3,Defense,Pull,,,K Brown,,A Drews,K Brown,S Meyer,A Mesh,Buddy,K Alex,KPS,,,,,,,,,,,,,,,,,,,,,,466,Endzone A,0.769,0.350,Field,0.940,0.526,yds,80.4,9.4,79.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,10,D,2,3,Defense,OpponentCatch,,,Anonymous,,A Drews,K Brown,S Meyer,A Mesh,Buddy,K Alex,KPS,,,,,,,,,,,,,,,,,,,,,,470,Field,0.942,0.523,Field,0.773,0.467,yds,13.9,3.0,-13.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,10,D,2,3,Defense,Goal,,,Anonymous,,A Drews,K Brown,S Meyer,A Mesh,Buddy,K Alex,KPS,,,,,,,,,,,,,,,,,,,,,,474,Field,0.773,0.467,Endzone A,0.248,0.363,yds,77.1,5.5,-76.9,
