Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Zaccar S,Joye A,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,538,Endzone B,0.449,0.529,Field,0.935,0.719,yds,17.4,10.2,14.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Joye A,Farina C,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,542,Field,0.935,0.719,Field,0.840,0.601,yds,9.9,6.3,7.6,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Throwaway,Farina C,Anonymous,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,557,Field,0.840,0.601,Field,0.371,0.276,yds,41.3,17.3,37.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Throwaway,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,570,Field,0.380,0.239,Field,0.506,0.255,yds,10.2,0.8,-10.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Marcy J,Norden J,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,582,Field,0.509,0.270,Field,0.380,0.239,yds,10.5,1.7,10.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Norden J,Marcy J,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,585,Field,0.380,0.239,Field,0.523,0.445,yds,15.9,11.0,-11.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Throwaway,Marcy J,Anonymous,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,592,Field,0.523,0.445,Field,0.388,0.961,yds,29.6,27.5,10.9,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Throwaway,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,688,Field,0.390,0.949,Field,0.777,0.694,yds,33.9,13.6,-31.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Anonymous,Joye A,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,784,Field,0.784,0.687,Field,0.813,0.607,yds,4.8,4.3,-2.3,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Joye A,Johnso C,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,805,Field,0.813,0.607,Field,0.513,0.712,yds,24.6,5.6,24.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Throwaway,Johnso C,Anonymous,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,813,Field,0.513,0.712,Endzone A,0.570,0.617,yds,49.9,5.1,49.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Throwaway,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,841,Field,0.015,0.646,Field,0.177,0.805,yds,15.5,8.4,-13.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Norden J,Cao C,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,846,Field,0.183,0.811,Field,0.194,0.520,yds,15.5,15.5,-0.9,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Cao C,Sanche M,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,850,Field,0.194,0.520,Field,0.230,0.201,yds,17.2,17.0,-2.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Sanche M,Cao C,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,854,Field,0.230,0.201,Field,0.098,0.106,yds,11.7,5.1,10.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Cao C,Sanche M,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,857,Field,0.098,0.106,Field,0.278,0.113,yds,14.4,0.4,-14.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Sanche M,Joye A,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,861,Field,0.278,0.113,Field,0.188,0.239,yds,9.9,6.7,7.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,MiscPenalty,Joye A,Anonymous,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,906,Field,0.188,0.239,Field,0.191,0.244,yds,0.4,0.3,-0.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Throwaway,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,918,Field,0.193,0.265,Endzone B,0.449,0.214,yds,73.6,2.7,-73.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Joye A,Norden J,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,933,Endzone B,0.019,0.215,Field,0.922,0.169,yds,7.1,2.5,6.6,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Norden J,Johnso C,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,937,Field,0.922,0.169,Field,0.758,0.082,yds,13.9,4.6,13.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Johnso C,Sanche M,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,941,Field,0.758,0.082,Field,0.633,0.083,yds,10.0,0.1,10.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Throwaway,Sanche M,Anonymous,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,946,Field,0.633,0.083,Field,0.720,0.313,yds,14.1,12.3,-7.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Goal,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,969,Field,0.750,0.196,Endzone B,0.187,0.326,yds,24.7,6.9,-23.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,OpponentPullOb,Anonymous,Anonymous,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1031,Endzone B,0.065,0.639,Field,0.144,0.000,yds,77.7,34.1,-69.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Catch,Smith K,Roeder S,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1045,Field,0.257,0.493,Field,0.249,0.264,yds,12.2,12.2,-0.6,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Catch,Roeder S,Ham S,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1048,Field,0.249,0.264,Field,0.376,0.440,yds,13.8,9.4,10.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Catch,Ham S,Roeder S,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1052,Field,0.376,0.440,Field,0.403,0.182,yds,13.9,13.8,2.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Catch,Roeder S,Falat E,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1056,Field,0.403,0.182,Field,0.603,0.152,yds,16.1,1.6,16.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Throwaway,Falat E,Anonymous,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1071,Field,0.603,0.152,Endzone B,0.285,0.350,yds,38.9,10.5,37.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Defense,D,,,Falat E,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1106,Endzone B,0.019,0.363,Field,0.882,0.867,yds,28.6,26.9,-9.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,85,O,4,2,Offense,Goal,Smith K,Peters B,,,Roeder S,Falat E,Ham S,Peters B,Jaffe M,Grant T,Smith K,,,,,,,,,,,,,,,,,,,,,,1114,Field,0.883,0.907,Endzone B,0.617,0.899,yds,21.7,0.4,21.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Defense,Pull,,,Wynne R,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1171,Endzone B,0.117,0.635,Field,0.202,0.673,yds,66.2,2.0,66.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Defense,D,,,Wynne R,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1185,Field,0.184,0.700,Field,0.777,0.650,yds,47.5,2.7,-47.4,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Offense,Catch,Wynne R,Cao C,,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1190,Field,0.775,0.656,Field,0.601,0.500,yds,16.2,8.3,13.9,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Offense,Catch,Cao C,Zaccar S,,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1193,Field,0.601,0.500,Field,0.522,0.268,yds,13.9,12.4,6.3,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Offense,Catch,Zaccar S,Marcy J,,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1197,Field,0.522,0.268,Field,0.418,0.332,yds,9.0,3.4,8.3,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Offense,Catch,Marcy J,Cao C,,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1201,Field,0.418,0.332,Field,0.601,0.406,yds,15.2,3.9,-14.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Offense,Throwaway,Cao C,Anonymous,,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1209,Field,0.601,0.406,Field,0.348,0.700,yds,25.6,15.7,20.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,70,D,4,3,Defense,Goal,,,Anonymous,,Klevec A,Crawfo M,Marcy J,Cao C,Farina C,Zaccar S,Wynne R,,,,,,,,,,,,,,,,,,,,,,1239,Field,0.346,0.715,Endzone B,0.393,0.414,yds,62.3,16.1,-60.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,OpponentPull,Anonymous,Anonymous,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1280,Field,0.996,0.657,Field,0.150,0.656,yds,67.7,0.1,-67.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Norden J,Joye A,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1289,Field,0.153,0.675,Field,0.247,0.514,yds,11.4,8.6,7.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Joye A,Kittre B,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1293,Field,0.247,0.514,Field,0.478,0.488,yds,18.5,1.4,18.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Kittre B,Norden J,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1297,Field,0.478,0.488,Field,0.506,0.818,yds,17.7,17.6,2.3,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Norden J,Kittre B,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1301,Field,0.506,0.818,Field,0.503,0.529,yds,15.4,15.4,-0.2,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Kittre B,Ham S,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1305,Field,0.503,0.529,Field,0.649,0.651,yds,13.4,6.5,11.7,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,35,O,5,3,Offense,Catch,Ham S,Norden J,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Johnso C,Norden J,,,,,,,,,,,,,,,,,,,,,,1309,Field,0.649,0.651,Field,0.803,0.794,yds,14.5,7.6,12.3,
