Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,M Smith,Kyle S,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,501
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Kyle S,A Taylor,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,507
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,A Taylor,Trenton,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,510
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Trenton,A Taylor,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,515
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Throwaway,A Taylor,Anonymous,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,520
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Defense,Throwaway,,,Anonymous,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,575
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Hicks,M Smith,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,624
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,M Smith,A Taylor,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,628
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,A Taylor,Boecking,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,631
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Boecking,A Taylor,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,642
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,A Taylor,M Smith,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,657
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,M Smith,Gainer,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,660
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Goal,Gainer,Hicks,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,666
