Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,286,Field,0.386,0.677,Field,0.154,0.775,yds,19.2,5.2,-18.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,Throwaway,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,290,Field,0.154,0.775,Endzone A,0.507,0.914,yds,23.4,7.4,-22.2,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Genest,Joncas,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,294,Field,0.007,0.921,Field,0.194,0.793,yds,16.4,6.9,14.9,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Joncas,Groulx,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,298,Field,0.194,0.793,Field,0.317,0.623,yds,13.4,9.1,9.9,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Groulx,Lemieux,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,302,Field,0.317,0.623,Field,0.460,0.460,yds,14.4,8.7,11.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Lemieux,Hibbert,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,306,Field,0.460,0.460,Field,0.485,0.799,yds,18.2,18.1,2.0,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Hibbert,Lemieux,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,310,Field,0.485,0.799,Field,0.639,0.799,yds,12.3,0.0,12.3,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Lemieux,Monfette,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,313,Field,0.639,0.799,Field,0.750,0.692,yds,10.5,5.7,8.8,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Monfette,Lemieux,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,318,Field,0.750,0.692,Field,0.608,0.349,yds,21.5,18.3,-11.4,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Lemieux,Monfette,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,322,Field,0.608,0.349,Field,0.555,0.506,yds,9.4,8.4,-4.2,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Throwaway,Monfette,Anonymous,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,329,Field,0.555,0.506,Field,0.698,0.625,yds,13.1,6.3,11.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,343,Field,0.717,0.668,Field,0.326,0.781,yds,31.9,6.0,-31.3,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,Throwaway,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,348,Field,0.326,0.781,Endzone A,0.348,0.571,yds,40.7,11.2,-39.1,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Genest,Joncas,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,372,Field,0.002,0.687,Field,0.196,0.168,yds,31.7,27.7,15.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Joncas,Jean G,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,376,Field,0.196,0.168,Field,0.353,0.185,yds,12.6,0.9,12.6,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Jean G,Monfette,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,380,Field,0.353,0.185,Field,0.288,0.407,yds,13.0,11.9,-5.2,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Monfette,Groulx,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,384,Field,0.288,0.407,Field,0.400,0.545,yds,11.6,7.4,9.0,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Groulx,Joncas,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,388,Field,0.400,0.545,Field,0.598,0.504,yds,16.0,2.2,15.8,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Goal,Joncas,Jean G,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,392,Field,0.598,0.504,Endzone B,0.331,0.240,yds,41.2,14.0,38.8,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,Pull,,,Ceballos,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,451,Endzone B,0.055,0.292,Endzone A,0.359,0.498,yds,94.6,11.0,93.9,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,455,Endzone A,0.362,0.521,Field,0.001,0.576,yds,13.2,2.9,-12.8,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,459,Field,0.001,0.576,Field,0.093,0.355,yds,13.9,11.8,-7.3,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,464,Field,0.093,0.355,Field,0.226,0.744,yds,23.3,20.8,-10.7,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,467,Field,0.226,0.744,Field,0.514,0.787,yds,23.1,2.3,-23.0,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,473,Field,0.514,0.787,Field,0.769,0.830,yds,20.5,2.3,-20.4,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,487,Field,0.769,0.830,Field,0.636,0.504,yds,20.4,17.4,10.6,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,492,Field,0.636,0.504,Field,0.731,0.202,yds,17.8,16.1,-7.7,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,OpponentCatch,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,495,Field,0.731,0.202,Field,0.665,0.445,yds,14.0,13.0,5.3,
2018-07-07 18:15,AUDL,Toronto Rush,51,D,1,3,Defense,Goal,,,Anonymous,,Chaouch,Cabot,Gamache,Genest,Andre,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,500,Field,0.665,0.445,Endzone B,0.548,0.696,yds,40.0,13.4,-37.7,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,OpponentPullOb,Anonymous,Anonymous,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,557,Field,0.995,0.633,Field,0.268,0.000,yds,67.3,33.8,-58.2,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Saunders,Burden,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,582,Field,0.254,0.458,Field,0.408,0.331,yds,14.0,6.8,12.3,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Burden,Nas,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,585,Field,0.408,0.331,Field,0.526,0.129,yds,14.3,10.8,9.4,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Nas,Vallee,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,588,Field,0.526,0.129,Field,0.402,0.377,yds,16.6,13.3,-9.9,
