Year,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2018,los_angeles_aviators,san_diego_growlers,25,23,283,247,25,11,6,11.32,0.872791519434629,0.9248366013071896,0.9919678714859438,1
2018,los_angeles_aviators,san_diego_growlers,25,20,273,237,21,15,7.085166666666666,10.92,0.8681318681318682,0.9413793103448276,0.983402489626556,1
2018,los_angeles_aviators,san_jose_spiders,33,31,218,176,32,10,6,6.606060606060606,0.8073394495412844,0.8861788617886179,0.9777777777777777,1
2018,los_angeles_aviators,seattle_cascades,30,26,255,202,36,17,6.248,8.5,0.792156862745098,0.8823529411764706,0.9901960784313726,1
2018,los_angeles_aviators,austin_sol,22,23,255,206,31,18,6.908291666666666,11.590909090909092,0.807843137254902,0.9042553191489362,0.9809523809523809,0
2018,los_angeles_aviators,dallas_roughnecks,17,20,247,161,68,18,5.720894736842105,14.529411764705882,0.6518218623481782,0.7993527508090615,0.9640718562874252,0
2018,atlanta_hustle,raleigh_flyers,30,20,316,280,22,14,6.7615,10.533333333333333,0.8860759493670886,0.9404761904761905,0.9929078014184397,1
2018,atlanta_hustle,nashville_nightwatch,18,17,331,282,33,16,6.568588235294118,18.38888888888889,0.851963746223565,0.9245810055865922,0.9791666666666666,1
2018,atlanta_hustle,tampa_bay_cannons,16,19,184,150,23,11,6.385624999999999,11.5,0.8152173913043478,0.8932038834951457,0.9933774834437086,0
2018,atlanta_hustle,dallas_roughnecks,21,26,219,176,38,5,6.1637272727272725,10.428571428571429,0.8036529680365296,0.8656126482213439,0.9777777777777777,0
2018,atlanta_hustle,dallas_roughnecks,28,29,229,199,23,7,5.811,8.178571428571429,0.868995633187773,0.9233870967741935,0.9802955665024631,0
2018,atlanta_hustle,dallas_roughnecks,20,24,219,185,26,8,6.018722222222222,10.95,0.8447488584474886,0.9012345679012346,0.9893048128342246,0
2018,atlanta_hustle,tampa_bay_cannons,17,15,253,210,28,15,6.124,14.882352941176471,0.8300395256916996,0.9100719424460432,0.9859154929577465,1
2018,atlanta_hustle,austin_sol,22,23,234,212,16,6,6.783857142857143,10.636363636363637,0.905982905982906,0.9397590361445783,0.9953051643192489,0
2018,atlanta_hustle,raleigh_flyers,25,26,277,248,19,10,6.370916666666666,11.08,0.8953068592057761,0.9389830508474576,0.9959839357429718,0
2018,atlanta_hustle,austin_sol,19,28,281,234,37,10,6.8962,14.789473684210526,0.8327402135231317,0.9006410256410257,0.975,0
2018,atlanta_hustle,nashville_nightwatch,30,26,329,289,28,12,6.446964285714286,10.966666666666667,0.878419452887538,0.9346590909090909,0.9829931972789115,1
2018,atlanta_hustle,tampa_bay_cannons,19,18,203,181,16,6,6.755578947368421,10.68421052631579,0.8916256157635468,0.9311926605504587,0.9945054945054945,1
2018,atlanta_hustle,tampa_bay_cannons,27,26,231,211,13,7,6.253416666666666,8.555555555555555,0.9134199134199135,0.9545454545454546,0.9906103286384976,1
