Date,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2014-06-14,rochester_dragons,philadelphia_phoenix,16,17,268,208,41,19,5.516,16.75,0.7761194029850746,0.8786885245901639,0.981132075471698,0
2014-04-19,rochester_dragons,philadelphia_phoenix,13,10,222,156,49,17,4.292428571428572,17.076923076923073,0.7027027027027027,0.8314606741573034,0.975,1
2014-05-23,madison_radicals,chicago_wildfire,14,15,248,208,30,10,4.650357142857142,17.714285714285715,0.8387096774193549,0.8985507246376812,0.9904761904761904,0
2014-06-14,madison_radicals,minnesota_wind_chill,23,15,274,222,34,18,5.9834999999999985,11.91304347826087,0.8102189781021898,0.898360655737705,0.9866666666666668,1
2014-06-20,madison_radicals,chicago_wildfire,24,19,273,239,22,12,5.715083333333332,11.375,0.8754578754578755,0.9381443298969072,0.9835390946502056,1
2014-05-24,madison_radicals,chicago_wildfire,15,12,253,211,30,12,6.337624999999999,16.866666666666667,0.83399209486166,0.8971631205673759,0.9952830188679244,1
2014-04-13,madison_radicals,indianapolis_alleycats,26,21,332,280,38,14,4.506099999999999,12.769230769230768,0.8433734939759037,0.904632152588556,0.9893992932862192,1
2014-04-25,madison_radicals,minnesota_wind_chill,20,23,235,193,29,13,5.5228947368421055,11.75,0.8212765957446808,0.9108527131782944,0.9698492462311558,0
2014-07-19,madison_radicals,indianapolis_alleycats,25,16,317,268,27,22,5.648777777777778,12.68,0.8454258675078864,0.9323529411764706,0.9852941176470588,1
2014-05-09,madison_radicals,minnesota_wind_chill,22,15,244,176,54,14,4.636736842105264,11.090909090909092,0.7213114754098361,0.8413793103448276,0.9565217391304348,1
2014-04-19,madison_radicals,detroit_mechanix,34,9,293,230,34,29,5.4186774193548395,8.617647058823529,0.7849829351535836,0.9071207430340558,0.9829059829059827,1
2014-06-28,madison_radicals,detroit_mechanix,28,9,301,221,50,30,5.241428571428573,10.75,0.7342192691029901,0.875,0.9692982456140352,1
2014-05-03,madison_radicals,indianapolis_alleycats,27,18,305,252,34,19,5.626079999999999,11.296296296296294,0.8262295081967214,0.9159159159159159,0.9767441860465116,1
2014-07-26,madison_radicals,san_jose_spiders,20,23,284,245,23,16,6.143095238095237,14.2,0.8626760563380281,0.9250814332247556,1.0,0
2014-06-07,madison_radicals,indianapolis_alleycats,23,12,258,209,31,18,6.320272727272728,11.217391304347824,0.810077519379845,0.902097902097902,0.9858490566037736,1
2014-06-14,toronto_rush,montreal_royal,31,18,287,231,44,12,6.6247500000000015,9.258064516129034,0.8048780487804879,0.875,0.9871794871794872,1
2014-06-21,toronto_rush,new_york_empire,21,18,313,265,31,17,6.754333333333332,14.904761904761903,0.8466453674121406,0.9205882352941176,0.9851301115241636,1
2014-04-13,toronto_rush,new_york_empire,22,20,317,257,49,11,5.693095238095237,14.409090909090908,0.8107255520504731,0.8805555555555555,0.9771863117870724,1
2014-07-26,toronto_rush,new_york_empire,31,16,298,239,40,19,6.355133333333333,9.612903225806454,0.8020134228187921,0.8869047619047619,0.991701244813278,1
2014-04-19,toronto_rush,montreal_royal,22,14,299,233,43,23,6.001333333333332,13.590909090909092,0.7792642140468228,0.8872403560830859,0.9789915966386554,1
2014-06-22,toronto_rush,philadelphia_phoenix,29,15,293,240,30,23,6.8731,10.103448275862073,0.8191126279863481,0.915625,0.9876543209876544,1
2014-07-05,toronto_rush,montreal_royal,19,20,299,241,43,15,5.2838,15.73684210526316,0.8060200668896321,0.8898809523809523,0.9757085020242916,0
2014-06-03,toronto_rush,montreal_royal,25,20,252,212,29,11,6.22548,10.08,0.8412698412698413,0.9064748201438848,0.986046511627907,1
2014-07-12,toronto_rush,philadelphia_phoenix,24,18,292,248,27,17,6.52705,12.166666666666664,0.8493150684931506,0.9211356466876972,0.992,1
2014-05-03,chicago_wildfire,detroit_mechanix,18,9,292,193,78,21,2.5236470588235296,16.22222222222222,0.660958904109589,0.8225352112676056,0.9278846153846154,1
2014-04-13,chicago_wildfire,minnesota_wind_chill,27,19,284,235,32,17,6.0431599999999985,10.518518518518519,0.8274647887323944,0.9102564102564102,0.9832635983263598,1
2014-06-04,chicago_wildfire,detroit_mechanix,31,17,205,154,43,8,5.0165500000000005,6.612903225806452,0.7512195121951221,0.8333333333333334,0.9871794871794872,1
2014-05-17,chicago_wildfire,dc_breeze,31,20,267,229,22,16,5.455633333333332,8.612903225806452,0.8576779026217228,0.9401408450704224,0.9786324786324786,1
2014-05-09,chicago_wildfire,indianapolis_alleycats,20,19,308,240,54,14,2.7083157894736845,15.4,0.7792207792207793,0.8725212464589235,0.9638554216867472,1
2014-06-21,chicago_wildfire,minnesota_wind_chill,19,22,232,200,26,6,6.809428571428572,12.210526315789476,0.8620689655172413,0.9098039215686274,0.9852216748768472,0
2014-06-07,chicago_wildfire,detroit_mechanix,26,13,253,186,45,22,5.206884615384615,9.73076923076923,0.7351778656126482,0.8694158075601375,0.9637305699481864,1
2014-07-19,chicago_wildfire,new_york_empire,17,22,287,244,34,9,5.5860625000000015,16.88235294117647,0.8501742160278746,0.9025157232704404,0.9878542510121456,0
2014-04-19,chicago_wildfire,indianapolis_alleycats,19,25,269,232,30,7,6.470142857142856,14.157894736842106,0.862453531598513,0.9026845637583892,0.9957081545064378,0
2014-06-21,san_jose_spiders,vancouver_riptide,37,25,262,210,39,13,6.978479999999999,7.081081081081082,0.8015267175572519,0.8762541806020067,0.9905660377358492,1
2014-04-12,san_jose_spiders,san_francisco_flamethrowers,20,16,241,199,27,15,6.541083333333333,12.05,0.8257261410788381,0.9060150375939848,0.9900497512437813,1
2014-05-17,san_jose_spiders,san_francisco_flamethrowers,21,22,215,147,54,14,4.923,10.238095238095235,0.6837209302325581,0.8174904942965779,0.9607843137254902,0
2014-04-20,san_jose_spiders,salt_lake_lions,37,18,236,171,49,16,6.2356428571428575,6.378378378378378,0.7245762711864406,0.8368794326241135,0.9827586206896552,1
2014-05-10,san_jose_spiders,vancouver_riptide,39,32,225,176,27,22,6.9317931034482765,5.769230769230767,0.7822222222222223,0.896414342629482,0.9943502824858758,1
2014-05-31,san_jose_spiders,vancouver_riptide,26,25,264,223,28,13,6.674400000000001,10.153846153846152,0.8446969696969697,0.9166666666666666,0.9823788546255506,1
2014-07-27,san_jose_spiders,toronto_rush,28,18,256,206,40,10,6.8052222222222225,9.142857142857142,0.8046875,0.8677966101694915,0.9951690821256038,1
2014-04-26,san_jose_spiders,salt_lake_lions,31,20,242,187,38,17,6.393882352941176,7.806451612903228,0.7727272727272727,0.88,0.9739583333333334,1
2014-07-12,san_jose_spiders,san_francisco_flamethrowers,23,17,294,231,44,19,6.535230769230767,12.782608695652176,0.7857142857142857,0.8828828828828829,0.9788135593220338,1
2014-07-18,san_jose_spiders,san_francisco_flamethrowers,26,16,292,251,32,9,7.0361,11.230769230769232,0.8595890410958904,0.9040247678018576,0.996031746031746,1
2014-06-28,san_jose_spiders,salt_lake_lions,37,12,244,188,35,21,6.568095238095237,6.594594594594594,0.7704918032786885,0.8745519713261649,1.0,1
2014-06-07,san_jose_spiders,san_francisco_flamethrowers,33,30,226,199,22,5,6.89757894736842,6.848484848484849,0.8805309734513275,0.9186991869918699,0.9900497512437813,1
2014-05-25,new_york_empire,montreal_royal,26,21,277,241,23,13,5.890407407407408,10.653846153846152,0.8700361010830325,0.9264214046822744,0.9958677685950412,1
2014-06-01,new_york_empire,philadelphia_phoenix,27,16,261,212,36,13,6.7056,9.666666666666666,0.8122605363984674,0.8817567567567568,0.9953051643192488,1
2014-06-07,new_york_empire,montreal_royal,24,16,290,240,30,20,5.6638,12.083333333333336,0.8275862068965517,0.9177215189873418,0.9836065573770492,1
2014-05-03,new_york_empire,montreal_royal,17,16,269,231,24,14,6.823052631578946,15.823529411764708,0.8587360594795539,0.9275862068965516,0.9871794871794872,1
2014-05-10,new_york_empire,philadelphia_phoenix,20,10,335,262,53,20,5.383136363636364,16.75,0.7820895522388059,0.8769633507853403,0.9776119402985076,1
2014-06-21,san_francisco_flamethrowers,salt_lake_lions,31,22,72,21,37,14,5.050842105263159,2.3225806451612905,0.2916666666666667,0.6728971962616822,0.9130434782608696,1
2014-06-22,san_francisco_flamethrowers,salt_lake_lions,33,25,65,11,37,17,5.326533333333333,1.9696969696969693,0.16923076923076924,0.65,0.8461538461538461,1
2014-04-27,san_francisco_flamethrowers,vancouver_riptide,29,20,276,225,36,15,6.308629629629631,9.517241379310343,0.8152173913043478,0.8961038961038961,0.982532751091703,1
2014-05-10,san_francisco_flamethrowers,salt_lake_lions,19,16,243,161,72,10,4.4784000000000015,12.789473684210524,0.6625514403292181,0.7941176470588235,0.9470588235294116,1
2014-06-01,san_francisco_flamethrowers,vancouver_riptide,20,16,300,231,56,13,3.764863636363636,15.0,0.77,0.8547008547008547,0.9788135593220338,1
2014-06-28,san_francisco_flamethrowers,vancouver_riptide,23,18,309,235,60,14,3.98225,13.434782608695652,0.7605177993527508,0.8442622950819673,0.9873949579831932,1
2014-04-19,san_francisco_flamethrowers,salt_lake_lions,32,9,283,201,61,21,4.9905757575757566,8.84375,0.7102473498233216,0.8397626112759644,0.9663461538461541,1
2014-04-12,vancouver_riptide,salt_lake_lions,29,14,54,3,33,18,2.221709677419355,1.862068965517241,0.05555555555555555,0.6206896551724138,1.0,1
2014-06-07,vancouver_riptide,salt_lake_lions,37,9,248,168,60,20,5.874631578947369,6.702702702702703,0.6774193548387096,0.8239202657807309,0.96,1
2014-04-13,vancouver_riptide,salt_lake_lions,21,12,86,3,73,10,1.8191428571428567,4.095238095238095,0.034883720930232565,0.5408805031446541,1.0,1
2014-05-17,vancouver_riptide,salt_lake_lions,40,28,289,232,37,20,4.735857142857141,7.225,0.8027681660899654,0.903125,0.9747899159663864,1
2014-08-30,vancouver_riptide,seattle_cascades,21,18,248,196,39,13,5.281428571428571,11.809523809523812,0.7903225806451613,0.8888888888888888,0.9607843137254902,1
2014-05-17,indianapolis_alleycats,detroit_mechanix,30,22,261,212,22,27,2.6223684210526317,8.7,0.8122605363984674,0.9321428571428572,0.986046511627907,1
2014-07-04,indianapolis_alleycats,detroit_mechanix,27,19,265,209,42,14,5.84451851851852,9.814814814814817,0.7886792452830189,0.8717105263157895,0.9858490566037736,1
2014-05-31,indianapolis_alleycats,minnesota_wind_chill,7,11,108,93,15,0,7.141166666666668,15.428571428571427,0.8611111111111112,0.8780487804878049,1.0,0
2014-07-13,indianapolis_alleycats,minnesota_wind_chill,15,25,330,273,46,11,4.131142857142858,22.0,0.8272727272727273,0.8967391304347826,0.9715302491103204,0
2014-05-04,indianapolis_alleycats,minnesota_wind_chill,22,21,156,101,42,13,5.792761904761906,7.090909090909091,0.6474358974358975,0.8041237113402062,0.961904761904762,1
2014-04-26,indianapolis_alleycats,detroit_mechanix,22,16,310,229,64,17,4.834136363636363,14.090909090909092,0.7387096774193549,0.8469945355191257,0.9662447257383966,1
2014-05-25,minnesota_wind_chill,detroit_mechanix,29,18,315,262,28,25,7.060103448275862,10.862068965517242,0.8317460317460318,0.9347181008902076,0.9776119402985076,1
2014-06-07,minnesota_wind_chill,cincinnati_revolution,30,18,411,368,24,19,6.1684375,13.7,0.8953771289537713,0.958041958041958,0.9839572192513372,1
2014-04-12,minnesota_wind_chill,detroit_mechanix,30,21,253,212,23,18,5.438896551724137,8.433333333333334,0.8379446640316206,0.933579335793358,0.976958525345622,1
2014-06-27,minnesota_wind_chill,detroit_mechanix,42,16,299,242,27,30,4.5885750000000005,7.11904761904762,0.8093645484949833,0.9285714285714286,0.983739837398374,1
2014-05-17,minnesota_wind_chill,chicago_wildfire,20,31,356,315,28,13,6.1249,17.8,0.8848314606741573,0.9595687331536388,0.9603658536585366,0
2014-05-10,minnesota_wind_chill,indianapolis_alleycats,24,25,387,343,29,15,7.8348749999999985,16.125,0.8863049095607235,0.9416058394160584,0.985632183908046,0
2014-05-31,detroit_mechanix,chicago_wildfire,17,31,307,253,39,15,6.894411764705883,18.058823529411768,0.8241042345276873,0.9056047197640118,0.9730769230769232,0
2014-06-27,detroit_mechanix,dc_breeze,16,42,346,284,57,5,6.491727272727274,21.625,0.8208092485549133,0.8737373737373737,0.9759450171821306,0
2014-06-21,montreal_royal,philadelphia_phoenix,31,19,288,244,28,16,5.4844399999999975,9.290322580645162,0.8472222222222222,0.9230769230769232,0.9838709677419356,1
2014-06-15,montreal_royal,philadelphia_phoenix,24,19,173,141,28,4,5.335913043478262,7.208333333333332,0.815028901734104,0.8606965174129353,1.0,1
2014-05-24,montreal_royal,philadelphia_phoenix,23,15,196,148,21,27,6.0,8.521739130434783,0.7551020408163265,0.9158878504672896,0.9801324503311258,1
2014-05-31,montreal_royal,toronto_rush,20,25,317,274,33,10,5.962210526315789,15.85,0.8643533123028391,0.9161849710982659,0.9856115107913668,0
2014-08-05,philadelphia_phoenix,montreal_royal,19,31,338,291,42,5,5.526473684210527,17.789473684210527,0.8609467455621301,0.8941798941798942,0.9931740614334472,0
2014-06-23,salt_lake_lions,vancouver_riptide,9,37,348,267,71,10,5.552444444444443,38.66666666666666,0.7672413793103449,0.8571428571428571,0.9535714285714286,0
2014-04-30,salt_lake_lions,san_jose_spiders,20,31,381,324,46,11,5.822272727272726,19.05,0.8503937007874016,0.9007092198581559,0.9878048780487804,0
2014-06-30,salt_lake_lions,san_jose_spiders,12,37,409,353,48,8,6.464153846153848,34.083333333333336,0.8630806845965769,0.9068736141906872,0.9832869080779943,0
2014-06-23,salt_lake_lions,san_francisco_flamethrowers,22,31,342,295,37,10,6.3779,15.545454545454545,0.8625730994152047,0.9144385026737968,0.9833333333333332,0
2014-06-30,salt_lake_lions,san_francisco_flamethrowers,24,33,375,323,42,10,7.157576923076923,15.625,0.8613333333333333,0.9191176470588236,0.9728915662650602,0
2015-05-30,pittsburgh_thunderbirds,detroit_mechanix,44,20,252,208,25,19,5.856454545454545,5.7272727272727275,0.8253968253968254,0.9130434782608696,0.9952153110047848,1
2015-06-28,pittsburgh_thunderbirds,chicago_wildfire,27,26,273,217,44,12,5.298566666666667,10.111111111111107,0.7948717948717948,0.883495145631068,0.9644444444444444,1
2015-07-10,pittsburgh_thunderbirds,detroit_mechanix,42,16,258,204,30,24,5.673972972972972,6.142857142857142,0.7906976744186046,0.9084507042253521,0.9807692307692308,1
2015-05-09,pittsburgh_thunderbirds,minnesota_wind_chill,28,22,293,245,32,16,6.141071428571429,10.464285714285714,0.8361774744027304,0.9071207430340558,0.9919028340080972,1
2015-06-06,pittsburgh_thunderbirds,madison_radicals,26,22,372,338,26,8,4.827074074074074,14.307692307692307,0.9086021505376344,0.9393939393939394,0.9941176470588236,1
2015-05-02,pittsburgh_thunderbirds,madison_radicals,18,24,356,301,40,15,5.866444444444443,19.777777777777786,0.8455056179775281,0.9035532994923858,0.9933993399339934,0
2015-07-25,pittsburgh_thunderbirds,madison_radicals,21,24,311,262,37,12,5.8906086956521735,14.809523809523812,0.842443729903537,0.9093567251461988,0.9776119402985076,0
2015-04-11,pittsburgh_thunderbirds,indianapolis_alleycats,28,20,268,222,34,12,4.990615384615385,9.571428571428571,0.8283582089552238,0.8993288590604027,0.9823008849557522,1
2015-05-03,pittsburgh_thunderbirds,minnesota_wind_chill,30,17,218,150,48,20,3.9422,7.2666666666666675,0.6880733944954128,0.8449612403100775,0.9493670886075948,1
2015-06-13,pittsburgh_thunderbirds,detroit_mechanix,34,21,295,239,36,20,5.476875,8.676470588235292,0.8101694915254237,0.9049079754601228,0.9795081967213116,1
2015-07-18,pittsburgh_thunderbirds,indianapolis_alleycats,29,25,363,326,30,7,5.474857142857144,12.517241379310345,0.8980716253443526,0.9331619537275064,0.9878787878787879,1
2015-07-25,pittsburgh_thunderbirds,chicago_wildfire,24,23,279,224,46,9,5.371217391304348,11.625,0.8028673835125448,0.8691588785046729,0.9824561403508772,1
2015-06-20,pittsburgh_thunderbirds,cincinnati_revolution,25,19,335,281,37,17,6.2776153846153875,13.4,0.8388059701492537,0.9128065395095368,0.9825174825174824,1
2015-07-11,pittsburgh_thunderbirds,cincinnati_revolution,33,27,326,279,38,9,5.716242424242424,9.87878787878788,0.8558282208588958,0.9080779944289692,0.9823943661971832,1
2015-04-25,pittsburgh_thunderbirds,cincinnati_revolution,30,16,223,174,37,12,5.568,7.433333333333334,0.7802690582959642,0.867704280155642,0.9830508474576272,1
2015-06-12,pittsburgh_thunderbirds,chicago_wildfire,16,19,207,157,37,13,5.277588235294117,12.9375,0.7584541062801933,0.8734177215189873,0.9573170731707316,0
2015-07-10,dc_breeze,philadelphia_phoenix,27,12,295,236,43,16,5.044666666666667,10.925925925925926,0.8,0.8805970149253731,0.98744769874477,1
2015-04-18,dc_breeze,ottawa_outlaws,23,19,271,223,38,10,6.3628125,11.782608695652176,0.8228782287822878,0.8885245901639345,0.9823788546255506,1
2015-06-20,dc_breeze,new_york_empire,7,8,115,80,24,11,4.465,16.428571428571427,0.6956521739130435,0.8518518518518519,0.9523809523809524,0
2015-07-11,dc_breeze,rochester_dragons,27,19,220,165,43,12,5.184310344827585,8.148148148148149,0.75,0.8365019011406845,1.0,1
2015-06-06,dc_breeze,philadelphia_phoenix,26,20,245,192,36,17,4.834777777777777,9.423076923076923,0.7836734693877551,0.8876811594202898,0.9746192893401016,1
2015-04-11,dc_breeze,toronto_rush,17,36,187,137,45,5,5.9887500000000005,11.0,0.732620320855615,0.85,0.9194630872483222,0
2015-07-05,dc_breeze,montreal_royal,21,25,330,259,54,17,5.832349999999999,15.714285714285715,0.7848484848484848,0.8684210526315791,0.9847908745247148,0
2015-06-21,dc_breeze,new_york_empire,13,21,246,164,67,15,4.682599999999999,18.923076923076927,0.6666666666666666,0.8118811881188119,0.9425287356321842,0
2015-05-16,dc_breeze,new_york_empire,18,22,322,273,36,13,6.852736842105262,17.88888888888889,0.8478260869565217,0.9070422535211268,0.9891304347826086,0
2015-05-09,dc_breeze,philadelphia_phoenix,30,29,319,268,39,12,6.106217391304347,10.633333333333333,0.8401253918495298,0.8960674157303371,0.9925925925925926,1
2015-05-24,dc_breeze,rochester_dragons,26,25,315,269,29,17,5.7441200000000014,12.115384615384615,0.8539682539682539,0.9183673469387756,0.9962962962962963,1
2015-05-03,dc_breeze,montreal_royal,20,21,285,229,43,13,6.337538461538461,14.25,0.8035087719298246,0.8850931677018633,0.9744680851063828,0
2015-07-04,dc_breeze,ottawa_outlaws,26,25,212,178,23,11,3.2117692307692307,8.153846153846152,0.8396226415094341,0.9098712446351932,0.9888888888888888,1
2015-05-23,dc_breeze,toronto_rush,21,33,269,223,35,11,5.302095238095238,12.809523809523812,0.8289962825278809,0.8996655518394648,0.9780701754385964,0
2015-06-06,cincinnati_revolution,dc_breeze,17,25,284,200,70,14,6.4698947368421065,16.705882352941178,0.7042253521126759,0.8160919540229885,0.9708737864077672,0
2015-05-23,cincinnati_revolution,detroit_mechanix,29,25,185,141,33,11,6.331916666666667,6.379310344827586,0.7621621621621621,0.8604651162790697,0.9791666666666666,1
