Date,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2017-07-14 19:15,san_jose_spiders,seattle_cascades,17,21,276,240,33,3,7.69125,16.235294117647058,0.8695652173913043,0.9049180327868852,0.9836065573770492,0
2017-06-10 17:54,san_jose_spiders,san_francisco_flamethrowers,19,27,278,200,63,15,5.937142857142858,14.631578947368421,0.7194244604316546,0.8298507462686567,0.970873786407767,0
2017-04-29 17:43,san_jose_spiders,vancouver_riptide,28,22,339,282,45,12,7.097833333333333,12.107142857142858,0.831858407079646,0.8921052631578947,0.986013986013986,1
2017-06-18 17:16,new_york_empire,philadelphia_phoenix,27,14,255,206,32,17,6.34028,9.444444444444445,0.807843137254902,0.901060070671378,0.9809523809523809,1
2017-04-29 16:42,new_york_empire,philadelphia_phoenix,18,13,250,193,38,19,5.382666666666666,13.88888888888889,0.772,0.8865248226950354,0.9698492462311558,1
2017-05-06 18:39,new_york_empire,dc_breeze,21,22,259,209,37,13,6.698809523809524,12.333333333333334,0.806949806949807,0.8809523809523809,0.990521327014218,0
2017-04-08 16:58,new_york_empire,toronto_rush,17,22,214,156,44,14,5.5126470588235295,12.588235294117647,0.7289719626168224,0.84251968503937,0.975,0
2017-06-04 17:37,new_york_empire,dc_breeze,17,18,313,270,31,12,6.714166666666667,18.41176470588235,0.8626198083067093,0.9098837209302325,1.0,0
2017-07-02 11:10,new_york_empire,ottawa_outlaws,20,19,208,161,32,15,6.8852631578947365,10.4,0.7740384615384616,0.8739495798319328,0.9877300613496932,1
2017-05-27 13:05,new_york_empire,dc_breeze,25,28,283,261,15,7,6.748499999999999,11.32,0.9222614840989399,0.9625850340136054,0.9849056603773585,0
2017-07-23 14:08,new_york_empire,toronto_rush,14,20,262,208,44,10,6.036846153846154,18.714285714285715,0.7938931297709924,0.8618421052631579,0.9904761904761905,0
2017-07-22 19:07,new_york_empire,ottawa_outlaws,29,25,225,184,26,15,7.106074074074074,7.758620689655173,0.8177777777777778,0.9036144578313253,0.989247311827957,1
2017-07-15 18:34,new_york_empire,philadelphia_phoenix,23,30,265,217,36,12,6.316666666666667,11.521739130434783,0.8188679245283019,0.8862876254180602,0.9908675799086758,0
2017-05-21 16:13,new_york_empire,montreal_royal,16,19,255,202,39,14,5.957411764705883,15.9375,0.792156862745098,0.8732876712328768,0.9901960784313726,0
2017-06-24 17:13,new_york_empire,ottawa_outlaws,23,22,232,191,26,15,6.341583333333333,10.08695652173913,0.8232758620689655,0.8992248062015504,1.0,1
2017-04-23 13:18,new_york_empire,montreal_royal,21,8,254,193,40,21,5.636150000000001,12.095238095238095,0.7598425196850394,0.8788927335640139,0.9747474747474747,1
2017-07-01 19:15,new_york_empire,montreal_royal,20,29,216,164,39,13,6.682363636363635,10.8,0.7592592592592593,0.8571428571428571,0.9820359281437125,0
2017-06-10 17:54,san_francisco_flamethrowers,sj_june_10,27,19,193,114,56,23,5.351071428571429,7.148148148148148,0.5906735751295337,0.8041666666666667,0.926829268292683,1
2017-08-13 13:54,san_francisco_flamethrowers,la_aviators,33,22,286,244,27,15,6.836258064516129,8.666666666666666,0.8531468531468531,0.9166666666666666,0.9959183673469387,1
2017-07-22 18:00,san_francisco_flamethrowers,seattle_cascades,30,24,211,144,51,16,6.890870967741934,7.033333333333333,0.6824644549763034,0.8274509803921568,0.9536423841059603,1
2017-06-17 17:15,san_francisco_flamethrowers,toronto,27,33,274,232,30,12,3.9477241379310355,10.148148148148149,0.8467153284671532,0.9133333333333333,0.9830508474576272,0
2017-07-15 18:06,san_francisco_flamethrowers,seattle_cascades,31,26,252,219,24,9,6.940129032258065,8.129032258064516,0.8690476190476191,0.9197080291970803,0.9909502262443439,1
2017-05-21 12:58,san_francisco_flamethrowers,vancouver_riptide,33,20,254,196,41,17,7.806935483870969,7.696969696969697,0.7716535433070866,0.8639455782312925,0.9949238578680203,1
2017-08-27 10:01,san_francisco_flamethrowers,toronto_rush,30,29,296,257,29,10,10.277064516129032,9.866666666666667,0.8682432432432432,0.9192546583850931,0.9884615384615385,1
2017-07-23 14:30,san_francisco_flamethrowers,vancouver_riptide,26,18,200,138,48,14,7.81268,7.6923076923076925,0.69,0.8097165991902834,0.9928057553956835,1
2017-04-01 17:53,san_francisco_flamethrowers,sj_spiders,34,29,243,210,21,12,6.359181818181818,7.147058823529412,0.8641975308641975,0.9239543726235742,0.995260663507109,1
2017-08-26 12:59,san_francisco_flamethrowers,madison_radical,23,19,326,291,21,14,10.304200000000002,14.173913043478262,0.8926380368098159,0.9449275362318841,0.9931740614334471,1
2017-06-24 19:05,san_francisco_flamethrowers,jun_24_vs_sj,26,29,235,192,30,13,6.090269230769231,9.038461538461538,0.8170212765957446,0.9038461538461539,0.9746192893401016,0
2017-05-13 18:25,san_francisco_flamethrowers,seattle_cascades,27,28,288,232,42,14,5.624384615384614,10.666666666666666,0.8055555555555556,0.8888888888888888,0.9747899159663865,0
2017-04-29 19:07,san_francisco_flamethrowers,los_angeles_aviators,26,22,201,157,30,14,7.5457777777777775,7.730769230769231,0.7810945273631841,0.8739130434782608,0.9936708860759493,1
2017-06-04 13:12,san_francisco_flamethrowers,la,30,24,154,99,38,17,6.0926875,5.133333333333334,0.6428571428571429,0.8148148148148148,0.9705882352941176,1
2017-04-22 18:08,san_francisco_flamethrowers,san_diego_growlers,28,19,344,299,32,13,6.612931034482758,12.285714285714286,0.8691860465116279,0.9148936170212766,1.0,1
2017-04-08 18:55,san_francisco_flamethrowers,san_jose_spiders,22,24,246,203,31,12,6.714909090909091,11.181818181818182,0.8252032520325203,0.8978102189781022,0.9854368932038835,0
2017-04-30 13:09,san_francisco_flamethrowers,san_diego_growlers,21,20,158,104,45,9,7.294434782608695,7.523809523809524,0.6582278481012658,0.7939698492462312,0.9629629629629629,1
2017-07-23 14:40,vancouver_riptide,san_francisco_flaethrowers,18,26,231,169,45,17,4.607363636363636,12.833333333333334,0.7316017316017316,0.8619402985074627,0.9548022598870056,0
2017-05-20 18:59,vancouver_riptide,san_jose_spiders,18,19,240,188,36,16,7.148350000000001,13.333333333333334,0.7833333333333333,0.8888888888888888,0.9690721649484536,0
2017-04-29 17:56,vancouver_riptide,san_jose_spiders,22,28,238,180,41,17,5.797095238095237,10.818181818181818,0.7563025210084033,0.875,0.9625668449197861,0
2017-05-07 13:34,vancouver_riptide,la_aviators,18,23,207,141,46,20,5.27123076923077,11.5,0.6811594202898551,0.8414634146341463,0.9527027027027027,0
2017-06-17 18:08,vancouver_riptide,seattle_cascades,19,24,279,232,34,13,6.349500000000001,14.68421052631579,0.8315412186379928,0.9087947882736156,0.9747899159663865,0
2017-06-03 17:49,vancouver_riptide,san_diego_growlers,23,25,315,269,33,13,6.122409090909091,13.695652173913043,0.8539682539682539,0.9156976744186046,0.9853479853479854,0
2017-04-22 18:06,vancouver_riptide,seattle_cascades,24,27,275,237,27,11,5.9417222222222215,11.458333333333334,0.8618181818181818,0.9259259259259259,0.9793388429752066,0
